kanji,hiragana,english
,かかる,to take time or money
一昨年,おととし,year before last
授業,じゅぎょう,"lesson,class work"
下着,したぎ,underwear
注意,ちゅうい,caution
台風,たいふう,typhoon
競争,きょうそう,competition
港,みなと,harbour
次,つぎ,next
色,いろ,colour
,ごちそう,a feast
血,ち,blood
歯医者,はいしゃ,dentist
遠い,とおい,far
金曜日,きんようび,Friday
,テニス,tennis
,コーヒー,coffee
間に合う,まにあう,to be in time for
狭い,せまい,narrow
,ワープロ,word processor
家内,かない,housewife
鳴る,なる,to sound
大分,だいぶ,greatly
休む,やすむ,to rest
寺,てら,temple
決める,きめる,to decide
会場,かいじょう,assembly hall or meeting place
お・金持ち,かねもち/おかねもち,rich man
飲む,のむ,to drink
一昨日,おととい,day before yesterday
説明,せつめい,explanation
