kanji,hiragana,english,kanji_required
召し上がる,めしあがる,(polite) to eat,
警官,けいかん,policeman,
雑誌,ざっし,magazine,
部長,ぶちょう,head of a section,
,あさって,day after tomorrow,
映画館,えいがかん,cinema,x
返す,かえす,to return something,
,すっと,"straight,all of a sudden",
昼,ひる,"noon, daytime",x
倍,ばい,double,
気持ち,きもち,"feeling,mood",
,ああ,like that,
犬,いぬ,dog,x
夜,よる,"evening,night",x
万年筆,まんねんひつ,fountain pen,
治る,なおる,"to be cured,to heal",
時々,ときどき,sometimes,
,では,with that...,
上,うえ,on top of,x
講堂,こうどう,auditorium,
娘,むすめ,(humble) daughter,
,とうとう,"finally, after all",
,いちばん,"best,first",
降りる,おりる,"to get off, to descend",
教える,おしえる,"to teach,to tell",x
