kanji,hiragana,english
家庭,かてい,household
,だんだん,gradually
国際,こくさい,international
乗り換える,のりかえる,to change between buses or trains
娘,むすめ,(humble) daughter
寝る,ねる,"to go to bed,to sleep"
利用,りよう,utilization
薬,くすり,medicine
卒業,そつぎょう,graduation
お金,おかね,money
作文,さくぶん,"composition,writing"
風,かぜ,wind
,そば,"near,beside"
元気,げんき,"health, vitality"
校長,こうちょう,headmaster
八日,ようか,"eight days, eighth day of the month"
踊る,おどる,to dance
危ない,あぶない,dangerous
,ごらんになる,(respectful) to see
温い,ぬるい,luke warm
小鳥,ことり,small bird
苦い,にがい,bitter
,おばあさん,"grandmother,female senior-citizen"
自転車,じてんしゃ,bicycle
来月,らいげつ,next month
煩い,うるさい,"noisy,annoying"
代わり,かわり,"substitute,alternate"
,たばこ,"tobacco,cigarettes"
有名,ゆうめい,famous
水道,すいどう,water supply
,さあ,well…
