kanji,hiragana,english,kanji_required
止まる,とまる,to come to a halt,x
柔らかい,やわらかい,soft,
結構,けっこう,"splendid,enough",
山,やま,mountain,x
白い,しろい,white,x
踊り,おどり,a dance,
妻,つま,my wife,
申す,もうす,"(humble) to be called,to say",
小学校,しょうがっこう,elementary school,
喜ぶ,よろこぶ,to be delighted,
お礼,おれい,expression of gratitude,
,もう,already,
,もっと,more,
,レストラン,restaurant,
,おまわりさん,friendly term for policeman,
物,もの,thing,x
喫茶店,きっさてん,coffee lounge,
初めて,はじめて,for the first time,
規則,きそく,regulations,
海岸,かいがん,coast,
答える,こたえる,to answer,x
特別,とくべつ,special,
連絡,れんらく,contact,
部屋,へや,room,
,ニュース,news,
,つまらない,boring,
