kanji,hiragana,english,kanji_required
紅茶,こうちゃ,black tea,
交番,こうばん,police box,
声,こえ,voice,x
,コート,"coat,tennis court",
,コーヒー,coffee,
,ここ,here,
午後,ごご,afternoon,x
九日,ここのか,"nine days, ninth day",x
九つ,ここのつ,nine,x
午前,ごぜん,morning,x
答える,こたえる,to answer,x
,こちら,this person or way,
,こっち,this person or way,
,コップ,a glass,
今年,ことし,this year,x
言葉,ことば,"word,language",x
子供,こども,child,x
,この,this,
御飯,ごはん,"cooked rice,meal",
,コピーする,to copy,
困る,こまる,to be worried,
,これ,this,
今月,こんげつ,this month,x
今週,こんしゅう,this week,x
,こんな,such,
今晩,こんばん,this evening,
,さあ,well…,
財布,さいふ,wallet,
魚,さかな,fish,x
先,さき,"the future,previous",x
咲く,さく,to bloom,
作文,さくぶん,"composition,writing",
差す,さす,"to stretch out hands,to raise an umbrella",
雑誌,ざっし,magazine,
砂糖,さとう,sugar,
寒い,さむい,cold,x
さ来年,さらいねん,year after next,x
三,さん,three,x
散歩,さんぽする,to stroll,
四,し / よん,four,x
塩,しお,salt,x
,しかし,however,
時間,じかん,time,x
仕事,しごと,job,x
辞書,じしょ,dictionary,x
静か,しずか,quiet,x
下,した,below,x
七,しち / なな,seven,x
質問,しつもん,question,x
自転車,じてんしゃ,bicycle,x
自動車,じどうしゃ,automobile,x
死ぬ,しぬ,to die,x
字引,じびき,dictionary,x
自分,じぶん,oneself,x
閉まる,しまる,"to close,to be closed",x
閉める,しめる,to close something,x
締める,しめる,to tie,
,じゃ/じゃあ,well then…,
写真,しゃしん,photograph,x
,シャツ,shirt,
,シャワー,shower,
十,じゅう とお,ten,x
授業,じゅぎょう,"lesson,class work",
宿題,しゅくだい,homework,x
上手,じょうず,skillful,x
丈夫,じょうぶ,"strong,durable",
,しょうゆ,soy sauce,
食堂,しょくどう,dining hall,x
知る,しる,to know,x
白,しろ,white,x
白い,しろい,white,x
新聞,しんぶん,newspaper,
水曜日,すいようび,Wednesday,x
吸う,すう,"to smoke,to suck",
,スカート,skirt,
好き,すき,like,x
少ない,すくない,a few,x
,すぐに,instantly,
少し,すこし,few,x
涼しい,すずしい,refreshing,
,ストーブ,heater,
,スプーン,spoon,
,スポーツ,sport,
,ズボン,trousers,
住む,すむ,to live in,x
,スリッパ,slippers,
,する,to do,
座る,すわる,to sit,
背,せ,"height,stature",
生徒,せいと,pupil,
,セーター,"sweater,jumper",
,せっけん,soap,
背広,せびろ,business suit,
狭い,せまい,narrow,
,ゼロ,zero,
千,せん,thousand,
先月,せんげつ,last month,x
先週,せんしゅう,last week,x
先生,せんせい,"teacher,doctor",x
洗濯,せんたく,washing,x
全部,ぜんぶ,all,x
掃除,そうじする,"to clean, to sweep",
,そうして/そして,and,
,そこ,that place,
,そちら,over there,
,そっち,over there,
外,そと,outside,
,その,that,
,そば,"near,beside",
空,そら,sky,x
,それ,that,,
,それから,after that,
,それでは,in that situation,
大学,だいがく,university,x
大使館,たいしかん,embassy,x
大丈夫,だいじょうぶ,all right,x
大好き,だいすき,like a lot,x
大切,たいせつ,important,x
台所,だいどころ,kitchen,
,たいへん,very,
,たいへん,difficult situation,
高い,たかい,"tall, expensive",x
,たくさん,many,
,タクシー,taxi,
出す,だす,to put out,x
立つ,たつ,to stand,x
,たて,"length,height",
建物,たてもの,building,x
楽しい,たのしい,enjoyable,x
頼む,たのむ,to ask,
,たばこ,"tobacco,cigarettes",
,たぶん,probably,
食べ物,たべもの,food,x
食べる,たべる,to eat,x
卵,たまご,egg,
誰,だれ,who,
誰,だれか,somebody,
誕生日,たんじょうび,birthday,
,だんだん,gradually,
小さい,ちいさい,little,
小さな,ちいさな,little,
近い,ちかい,near,x
違う,ちがう,to differ,x
近く,ちかく,near,x
地下鉄,ちかてつ,underground train,x
地図,ちず,map,x
茶色,ちゃいろ,brown,x
,ちゃわん,rice bowl,
,ちょうど,exactly,
,ちょっと,somewhat,
一日,ついたち,first of month,x
使う,つかう,to use,x
疲れる,つかれる,to get tired,
次,つぎ,next,
着く,つく,to arrive at,x
机,つくえ,desk,
作る,つくる,to make,
,つける,to turn on,
勤める,つとめる,to work for someone,
,つまらない,boring,
冷たい,つめたい,cold to the touch,
強い,つよい,powerful,x
手,て,hand,x
,テープ,tape,
,テーブル,table,
,テープレコーダー,tape recorder,
出かける,でかける,to go out,x
手紙,てがみ,letter,x
,できる,to be able to,
出口,でぐち,exit,x
,テスト,test,
,では,with that...,
,デパート,department store,
,でも,but,
出る,でる,"to appear,to leave",x
,テレビ,television,
天気,てんき,weather,x
電気,でんき,"electricity,electric light",x
電車,でんしゃ,electric train,x
電話,でんわ,telephone,x
戸,と,Japanese style door,
,ドア,Western style door,
,トイレ,toilet,
,どう,"how,in what way",
,どうして,for what reason,
,どうぞ,please,
動物,どうぶつ,animal,x
,どうも,thanks,
遠い,とおい,far,x
十日,とおか,"ten days,the tenth day",x
時々,ときどき,sometimes,
時計,とけい,"watch,clock",x
,どこ,where,
所,ところ,place,x
年,とし,year,x
図書館,としょかん,library,x
,どちら,which of two,
,どっち,which,
,とても,very,
,どなた,who,
隣,となり,next door to,x
,どの,which,
飛ぶ,とぶ,"to fly,to hop",
止まる,とまる,to come to a halt,x
友達,ともだち,friend,x
土曜日,どようび,Saturday,x
鳥,とり,bird,x
とり肉,とりにく,chicken meat,x
取る,とる,to take something,
撮る,とる,to take a photo or record a film,x
,どれ,which (of three or more),
,ナイフ,knife,
中,なか,middle,x
長い,ながい,long,x
鳴く,なく,"animal noise. to chirp, roar or croak etc.",
無くす,なくす,to lose something,
,なぜ,why,
夏,なつ,summer,x
夏休み,なつやすみ,summer holiday,x
,など,et cetera,
七つ,ななつ,seven,x
七日,なのか,"seven days,the seventh day",x
名前,なまえ,name,x
習う,ならう,to learn,x
並ぶ,ならぶ,"to line up,to stand in a line",x
並べる,ならべる,"to line up,to set up",x
,なる,to become,
何,なん/なに,what,x
二,に,two,x
賑やか,にぎやか,"bustling,busy",
肉,にく,meat,x
西,にし,west,x
日曜日,にちようび,Sunday,x
荷物,にもつ,luggage,
,ニュース,news,
庭,にわ,garden,
脱ぐ,ぬぐ,to take off clothes,
温い,ぬるい,luke warm,
,ネクタイ,"tie,necktie",
猫,ねこ,cat,x
寝る,ねる,"to go to bed,to sleep",
,ノート,"notebook,exercise book",
登る,のぼる,to climb,
飲み物,のみもの,a drink,x
飲む,のむ,to drink,x
乗る,のる,"to get on,to ride",x
歯,は,tooth,
,パーティー,party,
,はい,yes,
灰皿,はいざら,ashtray,
入る,はいる,"to enter,to contain",x
葉書,はがき,postcard,
,はく,"to wear,to put on trousers",
箱,はこ,box,
橋,はし,bridge,
,はし,chopsticks,
始まる,はじまる,to begin,x
初め/始め,はじめ,beginning,x
初めて,はじめて,for the first time,
走る,はしる,to run,x
,バス,bus,
,バター,butter,
二十歳,はたち,"20 years old,20th year",x
働く,はたらく,to work,x
八,はち,eight,x
二十日,はつか,"twenty days,twentieth",x
花,はな,flower,x
鼻,はな,nose,
話,はなし,"talk,story",x
話す,はなす,to speak,x
早い,はやい,early,x
速い,はやい,quick,x
春,はる,spring,x
貼る,はる,to stick,
晴れ,はれ,clear weather,
晴れる,はれる,to be sunny,
半,はん,half,
晩,ばん,evening,
,パン,bread,
,ハンカチ,handkerchief,
番号,ばんごう,number,
晩御飯,ばんごはん,evening meal,
半分,はんぶん,half minute,x
東,ひがし,east,x
引く,ひく,to pull,x
弾く,ひく,"to play an instrument with strings, including piano",
低い,ひくい,"short,low",
飛行機,ひこうき,aeroplane,
左,ひだり,left hand side,
人,ひと,person,x
一つ,ひとつ,one,x
一月,ひとつき,one month,x
一人,ひとり,one person,x
暇,ひま,free time,
百,ひゃく,hundred,x
病院,びょういん,hospital,x
病気,びょうき,illness,x
昼,ひる,"noon, daytime",x
昼御飯,ひるごはん,midday meal,
広い,ひろい,"spacious,wide",x
,フィルム,roll of film,
封筒,ふうとう,envelope,
,プール,swimming pool,
,フォーク,fork,
吹く,ふく,to blow,
服,ふく,clothes,x
二つ,ふたつ,two,x
豚肉,ぶたにく,pork,x
二人,ふたり,two people,x
二日,ふつか,"two days, second day of the month",x
太い,ふとい,fat,x
冬,ふゆ,winter,x
降る,ふる,"to fall, e.g. rain or snow",x
古い,ふるい,old (not used for people),x
,ふろ,bath,
文章,ぶんしょう,"sentence,text",x
,ページ,page,
下手,へた,unskillful,x
,ベッド,bed,
,ペット,pet,
部屋,へや,room,
辺,へん,area,
,ペン,pen,
勉強,べんきょうする,to study,x
便利,べんり,"useful, convenient",x
帽子,ぼうし,hat,
,ボールペン,ball-point pen,
,ほか,"other, the rest",
,ポケット,pocket,
欲しい,ほしい,want,
,ポスト,post,
細い,ほそい,thin,
,ボタン,button,
,ホテル,hotel,
本,ほん,book,x
本棚,ほんだな,bookshelves,x
,ほんとう,truth,
毎朝,まいあさ,every morning,x
毎月,まいげつ/まいつき,every month,x
毎週,まいしゅう,every week,x
毎日,まいにち,every day,x
毎年,まいねん/まいとし,every year,x
毎晩,まいばん,every night,x
前,まえ,before,x
曲る,まがる,"to turn,to bend",
,まずい,unpleasant,
,また,"again,and",
,まだ,"yet,still",
町,まち,"town,city",
待つ,まつ,to wait,x
,まっすぐ,"straight ahead,direct",
,マッチ,match,
窓,まど,window,
丸い/円い,まるい,"round,circular",x
万,まん,ten thousand,x
万年筆,まんねんひつ,fountain pen,
磨く,みがく,"to brush teeth, to polish",
右,みぎ,right side,x
短い,みじかい,short,x
水,みず,water,x
店,みせ,shop,
見せる,みせる,to show,x
道,みち,street,
三日,みっか,"three days, third day of the month",x
三つ,みっつ,three,x
緑,みどり,green,x
皆さん,みなさん,everyone,
南,みなみ,south,x
耳,みみ,ear,x
見る 観る,みる,"to see, to watch",x
,みんな,everyone,
六日,むいか,"six days, sixth day of the month",x
向こう,むこう,over there,x
難しい,むずかしい,difficult,
六つ,むっつ,six,x
村,むら,village,x
目,め,eye,x
,メートル,metre,
眼鏡,めがね,glasses,
,もう,already,
もう一度,もういちど,again,x
木曜日,もくようび,Thursday,x
持つ,もつ,to hold,x
,もっと,more,
物,もの,thing,x
門,もん,gate,x
問題,もんだい,problem,x
八百屋,やおや,greengrocer,x
野菜,やさい,vegetable,x
易しい,やさしい,"easy, simple",x
安い,やすい,cheap,
休み,やすみ,"rest,holiday",x
休む,やすむ,to rest,x
八つ,やっつ,eight,x
山,やま,mountain,x
,やる,to do,
夕方,ゆうがた,evening,x
夕飯,ゆうはん,dinner,x
郵便局,ゆうびんきょく,post office,
昨夜,ゆうべ,last night,x
有名,ゆうめい,famous,x
雪,ゆき,snow,x
行く,ゆく,to go,x
,ゆっくりと,slowly,
八日,ようか,"eight days, eighth day of the month",x
洋服,ようふく,western-style clothes,x
,よく,"often, well",
横,よこ,"beside,side,width",
四日,よっか,"four days, fouth day of the month",x
四つ,よっつ,four,x
呼ぶ,よぶ,"to call out,to invite",
読む,よむ,to read,x
夜,よる,"evening,night",x
弱い,よわい,weak,x
来月,らいげつ,next month,x
来週,らいしゅう,next week,x
来年,らいねん,next year,x
,ラジオ,radio,
,ラジカセ / ラジオカセット,radio cassette player,
,りっぱ,splendid,
留学生,りゅうがくせい,overseas student,
両親,りょうしん,both parents,
料理,りょうり,cuisine,x
旅行,りょこう,travel,x
零,れい,zero,
冷蔵庫,れいぞうこ,refrigerator,
,レコード,record,
,レストラン,restaurant,
練習,れんしゅうする,to practice,
廊下,ろうか,corridor,
六,ろく,six,
,ワイシャツ,business shirt,
若い,わかい,young,
分かる,わかる,to be understood,x
忘れる,わすれる,to forget,x
私,わたくし,"(humble) I,myself",x
私,わたし,"I,myself",x
渡す,わたす,to hand over,
渡る,わたる,to go across,
悪い,わるい,bad,x
,より、ほう,Used for comparison,
,あ,Ah,
,ああ,like that,
間,あいだ,a space,x
合う,あう,to match,x
,あかちゃん,baby,
上る,あがる,to rise,x
赤ん坊,あかんぼう,baby,x
空く,あく,"to open, to become empty",
,あげる,to give,
浅い,あさい,"shallow, superficial",
味,あじ,flavour,x
明日,あす・あした,tomorrow,x
遊び,あそび,play,
集る,あつまる,to gather,x
集める,あつめる,to collect something,x
謝る,あやまる,to apologize,
安心,あんしん,relief,
安全,あんぜん,safety,
,あんな,such,
以下,いか,less than,x
以外,いがい,with the exception of,x
医学,いがく,medical science,x
生きる,いきる,to live,x
意見,いけん,opinion,x
石,いし,stone,x
,いじめる,to tease,
以上,いじょう,"more than, this is all",x
急ぐ,いそぐ,to hurry,x
致す,いたす,(humble) to do,
一度,いちど,once,x
一生懸命,いっしょうけんめい,with utmost effort,
,いっぱい,full,
糸,いと,thread,
以内,いない,within,x
田舎,いなか,countryside,
祈る,いのる,to pray,
,いらっしゃる,"(respectful) to be, to come or to go",
植える,うえる,"to plant, to grow",
受付,うけつけ,receipt,
受ける,うける,to take a lesson or test,
動く,うごく,to move,x
,うち,within,
打つ,うつ,to hit,x
美しい,うつくしい,beautiful,
写す,うつす,to copy or photograph,x
移る,うつる,to move house or transfer,
腕,うで,arm,
裏,うら,reverse side,
売り場,うりば,place where things are sold,x
,うん,(informal) yes,
運転手,うんてんしゅ,driver,x
枝,えだ,"branch, twig",
選ぶ,えらぶ,to choose,
遠慮,えんりょ・する,"to be reserved, to be restrained",
,おいでになる,(respectful) to be,
お祝い,おいわい,congratulation,
,おかげ,"owing to, thanks to",
,おかしい,strange or funny,
億,おく,one hundred million,
屋上,おくじょう,rooftop,x
贈り物,おくりもの,gift,
送る,おくる,to send,x
遅れる,おくれる,to be late,
起す,おこす,to wake,x
行う,おこなう,to do,x
怒る,おこる,"to get angry, to be angry",
押し入れ,おしいれ,closet,
お嬢さん,おじょうさん,young lady,x
お宅,おたく,(polite) your house,
落る,おちる,to fall or drop,
,おっしゃる,(respectful) to say,
夫,おっと,husband,x
,おつり,"change from purchase, balance",
音,おと,"sound, note",x
落す,おとす,to drop,
踊り,おどり,a dance,
踊る,おどる,to dance,
驚く,おどろく,to be surprised,
お祭り,おまつり,festival,
お見舞い,おみまい,"calling on someone who is ill, enquiry",
お土産,おみやげ,souvenir,
思い出す,おもいだす,to remember,x
思う,おもう,"to think, to feel",x
,おもちゃ,toy,
表,おもて,the front,
親,おや,parents,x
泳ぎ方,およぎかた,way of swimming,
下りる,おりる,"to get off, to descend",
折る,おる,to break or to fold,
お礼,おれい,expression of gratitude,
折れる,おれる,to break or be folded,
終わり,おわり,the end,
海岸,かいがん,coast,
会議,かいぎ,meeting,
会議室,かいぎしつ,meeting room,
会場,かいじょう,assembly hall or meeting place,
会話,かいわ,conversation,
帰り,かえり,return,
変える,かえる,to change,
科学,かがく,science,
鏡,かがみ,mirror,
掛ける,かける,to hang something,
飾る,かざる,to decorate,
火事,かじ,fire,
,ガス,gas,
堅/硬/固い,かたい,hard,
形,かたち,shape,
片付ける,かたづける,to tidy up,
課長,かちょう,section manager,
勝つ,かつ,to win,
家内,かない,housewife,
悲しい,かなしい,sad,
必ず,かならず,"certainly,necessarily",
お・金持ち,かねもち/おかねもち,rich man,
彼女,かのじょ,"she,girlfriend",
壁,かべ,wall,
髪,かみ,hair,
噛む,かむ,"to bite,to chew",
通う,かよう,to commute,
彼,かれ,"he,boyfriend",
乾く,かわく,to get dry,
代わり,かわり,"substitute,alternate",
変わる,かわる,to change,
考える,かんがえる,to consider,
関係,かんけい,relationship,
看護師,かんごし,nurse,
簡単,かんたん,simple,
気,き,"spirit,mood",
機会,きかい,opportunity,
危険,きけん,danger,
聞こえる,きこえる,to be heard,
汽車,きしゃ,steam train,
技術,ぎじゅつ,"art,technology,skill",
季節,きせつ,season,
規則,きそく,regulations,
,きっと,surely,
絹,きぬ,silk,
厳しい,きびしい,strict,
気分,きぶん,mood,
決る,きまる,to be decided,
君,きみ,(informal) You,
決める,きめる,to decide,
気持ち,きもち,"feeling,mood",
着物,きもの,kimono,
客,きゃく,"guest,customer",
急,きゅう,"urgent, steep",
急行,きゅうこう,"speedy, express",
教育,きょういく,education,
教会,きょうかい,church,
競争,きょうそう,competition,
興味,きょうみ,an interest,
近所,きんじょ,neighbourhood,
具合,ぐあい,"condition,health",
空気,くうき,"air,atmosphere",
空港,くうこう,airport,
草,くさ,grass,
首,くび,neck,
雲,くも,cloud,
比べる,くらべる,to compare,
,くれる,to give,
暮れる,くれる,"to get dark,to come to an end",
君,くん,suffix for familiar young male,
毛,け,hair or fur,
経済,けいざい,"finance,economy",
警察,けいさつ,police,
景色,けしき,"scene,landscape",
消しゴム,けしゴム,eraser,
下宿,げしゅく,lodging,
決して,けっして,never,
,けれど/けれども,however,
原因,げんいん,"cause,source",
,けんか・する,to quarrel,
研究,けんきゅう,research,
研究室,けんきゅうしつ,"study room,laboratory",
見物,けんぶつ,sightseeing,
子,こ,child,
,こう,this way,
郊外,こうがい,outskirts,
講義,こうぎ,lecture,
工業,こうぎょう,the manufacturing industry,
高校,こうこう,high school,
高校生,こうこうせい,high school student,
工場,こうじょう/こうば,"factory,plant,mill,workshop",
校長,こうちょう,headmaster,
交通,こうつう,"traffic,transportation",
講堂,こうどう,auditorium,
高等学校,こうとうがっこう,high school,
公務員,こうむいん,"civil servant, government worker",
国際,こくさい,international,
心,こころ,"heart, mind, core",
御主人,ごしゅじん,(honorable) your husband,
故障,こしょう・する,to break-down,
ご存じ,ごぞんじ,(respect form ) to know,
答,こたえ,response,
,ごちそう,a feast,
小鳥,ことり,small bird,
,このあいだ,"the other day,recently",
,このごろ,"these days,nowadays",
細かい,こまかい,"small, fine",
込む,こむ,to include,
米,こめ,uncooked rice,
,ごらんになる,(respectful) to see,
,これから,after this,
怖い,こわい,frightening,
壊す,こわす,to break,
壊れる,こわれる,to be broken,
今度,こんど,"now,next time",
今夜,こんや,tonight,
最近,さいきん,"latest,nowadays",
最後,さいご,"last,end",
最初,さいしょ,"beginning,first",
坂,さか,"slope,hill",
探す,さがす,to look for,
下る,さがる,"to get down,to descend",
盛ん,さかん,"popularity,prosperous",
下げる,さげる,"to hang,to lower,to move back",
差し上げる,さしあげる,(polite) to give,
,さっき,some time ago,
寂しい,さびしい,lonely,
さ来月,さらいげつ,the month after next,
さ来週,さらいしゅう,the week after next,
騒ぐ,さわぐ,"to make noise,to be excited",
触る,さわる,to touch,
産業,さんぎょう,industry,
残念,ざんねん,disappointment,
市,し,city,
字,じ,character,
試合,しあい,"match,game",
仕方,しかた,method,
試験,しけん,examination,
事故,じこ,accident,
地震,じしん,earthquake,
時代,じだい,era,
下着,したぎ,underwear,
,しっかり,"firmly,steadily",
失敗,しっぱい,"failure,mistake",
辞典,じてん,dictionary,
品物,しなもの,goods,
,しばらく,little while,
島,しま,island,
市民,しみん,citizen,
事務所,じむしょ,office,
社会,しゃかい,"society,public",
社長,しゃちょう,company president,
自由,じゆう,freedom,
習慣,しゅうかん,"custom,manners",
住所,じゅうしょ,"an address,a residence",
柔道,じゅうどう,judo,
十分,じゅうぶん,enough,
趣味,しゅみ,hobby,
紹介,しょうかい,introduction,
小学校,しょうがっこう,elementary school,
小説,しょうせつ,novel,
将来,しょうらい,"future,prospects",
食料品,しょくりょうひん,groceries,
女性,じょせい,woman,
知らせる,しらせる,to notify,
調べる,しらべる,to investigate,
人口,じんこう,population,
神社,じんじゃ,Shinto shrine,
親切,しんせつ,kindness,
新聞社,しんぶんしゃ,newspaper company,
水泳,すいえい,swimming,
水道,すいどう,water supply,
数学,すうがく,"mathematics,arithmetic",
過ぎる,すぎる,to exceed,
凄い,すごい,terrific,
進む,すすむ,to make progress,
,すっかり,completely,
,すっと,"straight,all of a sudden",
捨てる,すてる,to throw away,
砂,すな,sand,
滑る,すべる,"to slide,to slip",
隅,すみ,"corner,nook",
済む,すむ,to finish,
,すり,pickpocket,
,すると,then,
生活,せいかつ・する,to live,
生産,せいさん・する,to produce,
政治,せいじ,"politics,government",
西洋,せいよう,western countries,
世界,せかい,the world,
席,せき,seat,
説明,せつめい,explanation,
背中,せなか,back of the body,
線,せん,line,
戦争,せんそう,war,
先輩,せんぱい,senior,
,そう,really,
育てる,そだてる,"to rear,to bring up",
卒業,そつぎょう,graduation,
祖父,そふ,grandfather,x
祖母,そぼ,grandmother,x
,それで,because of that,
,それに,moreover,
,それほど,to that extent,
,そろそろ,"gradually,soon",
,そんな,that sort of,
,そんなに,"so much,like that",
退院,たいいん・する,to leave hospital,
大学生,だいがくせい,university student,
大事,だいじ,"important,valuable,serious matter",
大体,だいたい,generally,
,たいてい,usually,
大分,だいぶ,greatly,
台風,たいふう,typhoon,
倒れる,たおれる,to break down,
,だから,"so,therefore",
確か,たしか,definite,
足す,たす,to add a number,
訪ねる,たずねる,to visit,
尋ねる,たずねる,to ask,
正しい,ただしい,correct,
畳,たたみ,Japanese straw mat,
立てる,たてる,to stand something up,
建てる,たてる,to build,
例えば,たとえば,for example,
棚,たな,shelves,
楽しみ,たのしみ,joy,
楽む,たのしむ,to enjoy oneself,
,たまに,occasionally,
為,ため,in order to,
足りる,たりる,to be enough,
男性,だんせい,male,
暖房,だんぼう,heating,
血,ち,blood,
,チェック・する,to check,
力,ちから,"strength,power",
,ちっとも,not at all (used with a negative verb),
,ちゃん,suffix for familiar person,
注意,ちゅうい,caution,
中学校,ちゅうがっこう,"junior high school,middle school",
注射,ちゅうしゃ,injection,
駐車場,ちゅうしゃじょう,parking lot,
地理,ちり,geography,
捕まえる,つかまえる,to seize,
付く,つく,to be attached,
漬ける,つける,"to soak,to pickle",
都合,つごう,"circumstances,convenience",
